"","Terms","Docs","value","category"
"438","april","Cluster1",0.00934579439252336,"0.25"
"439","aqueducts","Cluster1",0,"0.25"
"440","arbitrarily","Cluster1",0.00934579439252336,"0.25"
"441","arbitration","Cluster1",0.0280373831775701,"0.25"
"442","archibald","Cluster1",0,"0.25"
"443","archipelago","Cluster1",0.00934579439252336,"0.25"
"444","architects","Cluster1",0,"0.25"
"445","ardent","Cluster1",0.00934579439252336,"0.25"
"446","ardor","Cluster1",0,"0.25"
"447","arduous","Cluster1",0,"0.25"
"448","area","Cluster1",0.00934579439252336,"0.25"
"449","areas","Cluster1",0,"0.25"
"450","arebut","Cluster1",0,"0.25"
"451","argonne","Cluster1",0,"0.25"
"452","argue","Cluster1",0,"0.25"
"453","argument","Cluster1",0,"0.25"
"454","arguments","Cluster1",0,"0.25"
"455","arid","Cluster1",0.00934579439252336,"0.25"
"456","aright","Cluster1",0,"0.25"
"457","arightyet","Cluster1",0,"0.25"
"458","arise","Cluster1",0.0280373831775701,"0.25"
"459","arisen","Cluster1",0.00934579439252336,"0.25"
"460","arises","Cluster1",0.0186915887850467,"0.25"
"461","arising","Cluster1",0,"0.25"
"462","aristocracy","Cluster1",0,"0.25"
"463","arlington","Cluster1",0,"0.25"
"464","armament","Cluster1",0.00934579439252336,"0.25"
"465","armaments","Cluster1",0.00934579439252336,"0.25"
"466","armed","Cluster1",0.0186915887850467,"0.25"
"467","armies","Cluster1",0.0186915887850467,"0.25"
"468","arms","Cluster1",0.0373831775700935,"0.25"
"469","armsand","Cluster1",0,"0.25"
"470","army","Cluster1",0.0841121495327103,"0.25"
"471","around","Cluster1",0.0373831775700935,"0.25"
"472","arraignment","Cluster1",0.00934579439252336,"0.25"
"473","arrange","Cluster1",0.0186915887850467,"0.25"
"474","arrangement","Cluster1",0.00934579439252336,"0.25"
"475","arrangements","Cluster1",0.00934579439252336,"0.25"
"476","arrest","Cluster1",0,"0.25"
"477","arresting","Cluster1",0,"0.25"
"478","arrive","Cluster1",0,"0.25"
"479","arrived","Cluster1",0,"0.25"
"480","arrives","Cluster1",0,"0.25"
"481","arrogance","Cluster1",0,"0.25"
"482","arrogate","Cluster1",0.00934579439252336,"0.25"
"483","arsenal","Cluster1",0,"0.25"
"484","arsenals","Cluster1",0,"0.25"
"485","article","Cluster1",0.0186915887850467,"0.25"
"486","articles","Cluster1",0.0373831775700935,"0.25"
"487","articulated","Cluster1",0,"0.25"
"488","artifice","Cluster1",0,"0.25"
"489","artificial","Cluster1",0,"0.25"
"490","artificially","Cluster1",0.00934579439252336,"0.25"
"491","artillery","Cluster1",0.00934579439252336,"0.25"
"492","artists","Cluster1",0,"0.25"
"493","arts","Cluster1",0.0373831775700935,"0.25"
"494","ascendancy","Cluster1",0.00934579439252336,"0.25"
"495","ascertain","Cluster1",0.00934579439252336,"0.25"
"496","ascertained","Cluster1",0,"0.25"
"497","ascertaining","Cluster1",0,"0.25"
"498","ascribe","Cluster1",0.00934579439252336,"0.25"
"499","ascribed","Cluster1",0,"0.25"
"500","ashamed","Cluster1",0,"0.25"
"501","asia","Cluster1",0.00934579439252336,"0.25"
"502","asiatic","Cluster1",0.00934579439252336,"0.25"
"503","aside","Cluster1",0.00934579439252336,"0.25"
"504","asked","Cluster1",0.00934579439252336,"0.25"
"505","asking","Cluster1",0.00934579439252336,"0.25"
"506","asknot","Cluster1",0,"0.25"
"507","asks","Cluster1",0,"0.25"
"508","asleep","Cluster1",0,"0.25"
"509","aspect","Cluster1",0.00934579439252336,"0.25"
"510","aspects","Cluster1",0,"0.25"
"511","aspiration","Cluster1",0,"0.25"
"512","aspirationmust","Cluster1",0,"0.25"
"513","aspirations","Cluster1",0.0467289719626168,"0.25"
"514","aspire","Cluster1",0.00934579439252336,"0.25"
"515","aspires","Cluster1",0,"0.25"
"516","assail","Cluster1",0.00934579439252336,"0.25"
"517","assault","Cluster1",0.0186915887850467,"0.25"
"518","assemblage","Cluster1",0.00934579439252336,"0.25"
"519","assemble","Cluster1",0,"0.25"
"520","assembled","Cluster1",0.00934579439252336,"0.25"
"521","assembly","Cluster1",0.00934579439252336,"0.25"
"522","assent","Cluster1",0,"0.25"
"523","assert","Cluster1",0.0280373831775701,"0.25"
"524","asserted","Cluster1",0.00934579439252336,"0.25"
"525","assertion","Cluster1",0.0186915887850467,"0.25"
"526","asserts","Cluster1",0,"0.25"
"527","assessed","Cluster1",0.00934579439252336,"0.25"
"528","assessing","Cluster1",0,"0.25"
"529","assigned","Cluster1",0.00934579439252336,"0.25"
"530","assigns","Cluster1",0,"0.25"
"531","assist","Cluster1",0.0186915887850467,"0.25"
"532","assistance","Cluster1",0.00934579439252336,"0.25"
"533","assisted","Cluster1",0,"0.25"
"534","associated","Cluster1",0.0280373831775701,"0.25"
"535","associates","Cluster1",0,"0.25"
"536","association","Cluster1",0.0280373831775701,"0.25"
"537","associations","Cluster1",0.00934579439252336,"0.25"
"538","assuaged","Cluster1",0,"0.25"
"539","assume","Cluster1",0.0186915887850467,"0.25"
"540","assumed","Cluster1",0.0186915887850467,"0.25"
"541","assumes","Cluster1",0,"0.25"
"542","assuming","Cluster1",0,"0.25"
"543","assurance","Cluster1",0,"0.25"
"544","assurances","Cluster1",0,"0.25"
"545","assure","Cluster1",0,"0.25"
"546","assured","Cluster1",0.0373831775700935,"0.25"
"547","astounding","Cluster1",0.00934579439252336,"0.25"
"548","astray","Cluster1",0.00934579439252336,"0.25"
"549","astronauts","Cluster1",0,"0.25"
"550","asunder","Cluster1",0,"0.25"
"551","asylum","Cluster1",0,"0.25"
"552","athens","Cluster1",0,"0.25"
"553","atlantic","Cluster1",0,"0.25"
"554","atom","Cluster1",0,"0.25"
"555","attached","Cluster1",0,"0.25"
